word	cantonese_count
嘅	45136
係	32679
我	27629
都	26625
佢	23029
唔	19775
你	18775
咗	16215
有	15868
咁	14820
好	14682
就	12730
啲	11768
到	10998
個	10662
同	10434
人	10307
會	9747
呢	9224
睇	9077
冇	8212
可以	8178
喺	8127
又	7587
真係	7549
要	7329
我哋	6976
唔係	6519
做	6232
去	5928
但	5810
嚟	5733
講	5716
得	5454
自己	5430
佢哋	5358
咩	5184
想	5142
話	5140
啊	5091
噉	5036
嘢	5001
一	4687
用	4677
過	4225
年	3963
畀	3808
先	3788
多	3767
覺得	3697
因為	3685
如果	3684
其實	3671
好似	3557
返	3484
諗	3457
呢個	3407
下	3365
好多	3351
所以	3316
就係	3095
幾	3059
仲	2994
而	2917
唔好	2911
但係	2881
呀	2854
已經	2795
食	2772
點	2753
打	2726
即係	2712
喇	2707
應該	2636
買	2627
住	2589
唔知	2552
對	2547
出	2542
俾	2539
大	2513
不過	2499
點解	2435
而家	2427
之後	2409
香港	2383
嗰	2326
再	2311
為	2303
上	2290
同埋	2285
叫	2245
可能	2230
無	2219
知	2127
隻	2122
喎	2110
最	2095
問題	2094
有冇	2089
呢啲	2058
將	1950
唔使	1931
或者	1930
比	1864
月	1852
埋	1842
𡃉	1810
大家	1761
等	1760
仲有	1689
嗰啲	1676
入	1665
有啲	1659
鍾意	1648
開始	1634
係咪	1631
識	1613
未	1612
兩	1594
由	1546
噉樣	1544
玩	1539
你哋	1508
當	1485
囖	1473
其他	1465
仔	1448
事	1433
人哋	1432
緊	1427
時間	1419
完	1409
問	1404
錢	1367
少	1358
唔同	1351
度	1340
乜	1330
走	1325
起	1325
幫	1316
位	1311
成日	1298
依家	1287
中	1280
開	1276
之前	1274
快	1273
種	1260
死	1254
以	1251
條	1248
樣	1248
見	1242
黎	1234
見到	1228
只係	1217
令	1197
新	1193
聽	1187
地	1166
號	1162
後	1160
間	1156
一樣	1154
成	1140
夠	1127
一齊	1117
搞	1116
邊	1115
嗰個	1103
需要	1090
高	1082
邊個	1081
最後	1079
一定	1073
時候	1052
時	1035
波	1034
太	1032
朋友	1021
屋企	1012
日	1005
巴	1004
乜嘢	994
囉	989
連	985
架	981
今日	980
更	978
公司	978
落	978
算	963
女	951
被	949
拎	941
英文	940
地方	939
嘅話	930
靚	926
希望	923
雖然	918
知道	914
啱	908
入面	902
咪	900
左	893
亦	886
勁	877
正	875
整	874
來	867
跟住	863
點樣	860
嗎	852
以前	851
誒	845
完全	831
變	819
差	816
班	816
難	815
寫	804
放	803
明	802
件	800
前	798
驚	797
三	781
除咗	771
就算	769
幾多	764
然後	763
日本	762
可	756
行	756
狗	745
定	745
重	743
帶	740
機會	736
學	734
美國	732
世界	731
分	728
中國	728
加	726
吖	722
而且	721
少少	720
發現	716
個人	708
系	708
本身	707
蚊	706
請	704
根本	700
所有	697
原來	695
場	694
張	691
喺度	691
垃圾	684
晒	683
一啲	682
嗰陣	679
啱啱	677
比較	673
方法	672
名	671
揀	667
至	665
以為	665
賣	664
嚹	663
次	661
感覺	661
重要	655
水	655
或	652
笑	650
細	650
讀	650
更加	646
贏	644
跟	643
手	643
有時	636
站	625
響	621
之	618
國家	617
開心	615
教	612
野	610
既	609
似	609
今次	607
特別	604
冇乜	595
著	592
笑聲	591
繼續	584
個個	583
淨係	582
生活	577
啫	576
情況	574
及	574
呢度	573
女仔	573
試	571
記得	568
陣	565
攞	565
頭	563
當然	560
好好	560
低	560
路	558
上面	556
影響	555
換	554
車	554
一直	548
機	547
㗎	542
其中	540
工作	535
份	534
例如	534
果	533
錯	532
第一	529
全部	528
樓主	525
發生	525
轉	525
踢	522
坐	522
飲	522
小	521
易	521
亦都	517
第	516
款	515
廢	514
真	513
輸	510
隊	509
字	508
收	507
大陸	506
認	506
政府	505
送	502
哦	501
嘞	500
套	498
只	495
生	495
耐	494
文	493
揾	493
落去	493
即刻	487
決定	485
的	482
阿	481
於	480
同時	478
望	476
女人	473
研究	473
正常	471
本	471
工	469
多謝	466
直接	464
通常	463
仲係	463
四	462
包括	461
貴	461
馬	460
區	459
飛	458
好睇	458
歲	457
即	457
早	456
愛	456
發展	456
分別	456
醫生	455
簡單	455
咋	453
設計	453
篇	448
跑	447
姐	447
書	447
平時	447
依	444
成為	444
最好	443
學生	442
平	441
面	439
內	438
不如	437
老	436
估	436
心	435
舊	435
街	433
優惠	431
原因	430
聽日	428
爆	427
關係	426
拉	426
定係	426
哩	424
版	424
電話	423
另外	423
有得	422
道	422
改變	420
雞	417
相	417
部	415
信	415
影	415
嗯	414
計	413
非常	411
結果	411
卡	411
能力	409
畫	409
片	409
超	409
每	408
選擇	408
語言	406
拍	405
從	404
味	404
梗係	401
當時	397
留	396
主要	396
嚇	395
掂	395
相信	394
傾	394
代表	392
一日	392
英國	391
句	389
成功	388
約	387
人類	386
球	385
戲	385
腳	385
理	385
今	382
反而	382
改	381
甚至	381
講嘢	381
任何	380
好耐	380
得到	379
男人	377
分鐘	377
鐘	377
嗰度	377
無人	377
試過	377
圖	376
社會	376
並	375
黑	374
學校	374
佬	373
身體	371
香港人	370
同一	370
食物	368
萬	367
做嘢	367
嘛	366
討論	364
慢慢	362
類	361
好過	360
大學	360
指	360
長	359
文化	359
怕	358
越	358
掌聲	358
段	357
%	357
第二	355
所	354
故事	354
係唔係	354
向	352
提供	352
幾時	352
靠	351
嗰時	351
線	350
神	348
家	347
服務	347
番	346
今年	345
電影	344
唔通	344
排	343
小朋友	341
斯	339
為咗	339
差唔多	338
屎	337
返工	336
使	335
擺	335
嘩	335
分享	334
日日	334
數	333
歌	332
炒	332
飯	332
點知	332
腦	329
紅	329
聲	329
譬如	328
清楚	327
綫	325
粒	322
着	322
之間	322
瞓	322
抽	321
假	321
興趣	320
方面	320
解決	320
包	320
型	320
之外	319
健康	319
留意	319
準備	317
邊度	317
控制	316
升	315
介紹	315
過去	314
曾經	314
能夠	314
集	312
追	312
辛苦	312
樓	312
出現	311
仲要	310
明明	309
旅行	308
五	308
衰	308
企	308
嬲	307
同事	306
環境	306
病	306
洗	304
意思	304
利	304
方式	304
肯	302
最近	302
六	302
系統	302
壓力	301
內容	301
令到	301
半	300
者	300
方便	299
衫	299
一半	298
口	298
頂	298
每日	298
活動	297
好彩	297
十	295
終於	295
近	295
肥	293
關	293
單	293
電腦	293
計劃	292
角色	291
身	290
花	290
叫做	290
屋企人	290
米	289
中文	289
受	289
訓	288
要求	288
只要	288
性	288
力	287
絲	287
一路	286
煮	286
執	286
遠	284
一係	283
接受	282
建議	281
眼	281
幫手	281
一般	280
酒店	280
唔記得	280
起碼	279
考	279
資料	279
油	279
愈	278
最多	278
加入	276
與	274
提	274
真心	274
肯定	274
解釋	274
反應	273
地球	273
呃	273
支持	272
變成	272
無論	271
杯	271
音樂	271
有關	271
返去	271
容易	270
嫁	270
未必	270
尾	270
運動	269
派	269
殺	268
石	268
清	268
經濟	268
巴士	268
做乜	268
養	267
和	266
只有	266
唱	265
二	264
入去	264
把	263
城市	263
未來	262
空間	262
產品	262
細個	262
努力	261
敢	260
扮	260
貓	260
期	260
添	259
首	258
認真	258
全	257
明顯	257
今晚	257
究竟	256
以上	256
美	255
熱	255
作為	255
濕	255
俾人	255
自然	254
喂	254
廣東話	253
底	253
星期	252
絕對	252
關於	252
地區	252
感	252
由於	251
有錢	250
證明	250
跌	250
男	250
肉	250
科	250
永遠	249
西	249
嚟講	249
男仔	249
女朋友	248
掛	248
老豆	248
客	248
資源	247
對方	247
答	247
教育	247
港	247
裏面	247
賺	246
覺	246
明白	245
喊	245
多數	245
出去	244
經歷	244
唔錯	244
讀書	243
女性	243
老母	242
遊戲	242
星	242
同學	242
主	242
皮	242
普通	241
國	241
色	241
眾	241
使用	240
貼	240
人工	240
友	240
東	239
反	238
推	238
附近	238
技術	238
年代	238
同樣	238
先至	238
基本上	238
唯一	237
存在	236
豬	236
中學	235
老婆	235
交	235
解	234
隔離	234
科技	234
自	234
抵	234
老師	233
牙	233
王	233
停	232
網	232
實	232
透過	232
幾好	232
角	231
價錢	231
突然	230
飛機	230
真正	229
金	229
頭先	229
嗰陣時	229
一下	228
鬼	228
搭	228
牌	228
登	227
法	227
夾	227
拿	226
加上	225
麻煩	225
同人	225
強	224
所謂	224
傷	224
中間	224
當中	224
痛	223
到底	223
安全	223
正式	223
白	222
膠	222
台	221
表現	221
價	221
文章	221
到時	221
揸	221
外國	220
身邊	220
大概	220
魚	220
以下	220
叻	220
現實	219
晚	219
記	219
唉	218
山	218
大腦	218
澄	218
位置	217
對於	217
上去	216
發	216
竟然	216
支	216
吸引	216
動物	216
病人	216
經過	215
首先	215
效果	215
超過	214
下次	214
男朋友	213
人生	213
已	213
舒服	213
香	213
得閒	213
諗法	213
拜	212
例子	211
出來	210
黐線	210
始終	209
上網	209
經驗	209
韓國	209
億	209
用嚟	209
適合	208
能	207
煩	207
大部分	207
手機	207
作品	207
折	207
怪	206
電視	206
部分	206
料	206
龍	206
化	205
學習	204
比賽	204
答案	204
光	204
個月	204
食飯	204
講真	203
黃	202
達	202
一陣	202
外	201
房	200
等等	200
仍然	199
燈	199
傻	199
作	199
生命	199
德	199
一場	199
訂	198
考慮	198
塊	198
歷史	198
牛	198
壞	197
咬	197
拖	197
行為	197
中心	197
嚴重	196
跳	196
法國	196
係噉	196
唔見	196
射	195
吹	195
重點	195
妹	195
當年	194
申請	194
配	194
減	194
全球	194
不斷	193
翻	193
新聞	193
想像	193
功能	193
吓	193
夜晚	192
處理	192
保護	192
較	192
冇用	192
大把	192
人口	191
撞	191
上次	191
緊要	191
小心	190
事實	190
擔心	190
各位	190
老細	190
原本	189
貨	189
歐洲	189
組織	189
之一	189
搶	188
裝	188
免費	188
曬	188
粉	188
產生	188
靚仔	188
慢	187
中意	187
遇到	187
店	187
過程	187
暫時	186
接	186
屋	186
皇	186
幾耐	185
食嘢	185
硬	184
慘	183
增加	183
細佬	183
值得	182
次次	182
亂	182
各	182
鬧	182
家庭	181
後面	181
傳	181
極	181
醫院	181
總	181
屆	181
陳	181
季	180
一早	180
電	180
周圍	180
餐廳	180
老公	180
小學	179
傾偈	179
全世界	179
頭髮	178
後悔	178
歡迎	178
甩	178
子	178
悶	177
補	177
價值	177
角度	177
目標	177
皮膚	177
陪	176
市場	176
感受	176
大佬	176
回	175
感情	175
元	175
獨立	175
科學	175
個位	174
收到	174
國際	174
某	173
報	173
八	173
銀行	173
海	173
嘢食	173
進行	172
基本	172
離開	172
的確	172
層	172
醒	172
擁有	172
南	172
推介	172
捉	171
有用	171
借	171
忍	171
傳統	171
會同	171
網上	171
放棄	170
完成	170
除非	170
理由	170
燒	170
公	170
簽	169
公園	169
屈	169
世紀	169
禮拜	169
琴日	169
以及	168
受到	168
熟	168
大約	168
冇嘢	168
滿	167
照	167
左右	167
結婚	167
下面	167
利用	167
湯	167
起身	167
支援	167
粵拼	167
情緒	166
碟	166
餐	166
至少	165
發覺	165
因	165
減少	165
屬於	165
合作	165
爾	165
遲	164
倒	164
改善	164
經	164
根據	164
信用卡	164
必須	164
主動	163
機場	163
溝通	163
按	163
劇情	162
聲音	162
味道	162
七	162
乾	162
哥	162
幫助	161
短	161
觀眾	161
類似	161
面對	161
另一	161
天	159
覆	159
宇宙	159
講緊	159
苗	159
小小	158
戴	158
理解	158
表示	158
妳	158
楔	158
岩	157
前面	157
救	157
串	157
英	157
爭	157
廣告	157
自我	157
紙	157
回覆	157
於是	157
冠軍	156
自由	156
儲	156
工具	156
條友	156
噶	156
睇戲	156
秒	155
袋	155
安	155
刷	154
節目	154
城	154
嘗試	154
成立	154
林	154
好食	154
表達	153
格	153
開頭	153
裏邊	153
爛	152
親	152
尼	152
質素	152
剩係	152
將會	152
課	151
重新	151
自動	151
汁	151
市	151
從來	150
尊重	150
享受	150
寧願	150
早餐	150
音	150
木	150
好多時	150
煲	150
即使	149
普通話	149
如	149
一邊	149
物	149
網站	149
州	149
堆	148
右	148
放假	148
創造	148
資訊	148
得出	148
事實上	148
搞掂	148
特登	148
方向	147
齊	147
政治	147
文字	147
零	147
球員	146
性格	146
夜	146
將來	146
留言	146
剪	146
地鐵	146
縣	146
處	145
媽媽	145
澳門	145
建立	145
特	145
影相	145
在	144
團	144
消失	144
掉	144
靚女	144
彈	144
父母	144
至於	144
部份	144
BB	144
還	143
習慣	143
進步	143
師傅	143
材料	143
生物	143
華	143
島	143
意見	142
氣	142
單位	142
建築	142
接觸	142
細胞	142
考試	141
後來	141
表演	141
創意	141
一切	141
藝術	141
踩	141
車站	141
選舉	141
冇事	141
程度	140
對面	140
製造	140
批	140
門	140
流	140
足	140
定義	140
咖啡	140
期間	140
得意	140
選	139
知識	139
血	139
專業	139
搬	139
應	139
翻譯	139
攰	139
重有	139
辦法	138
戲院	138
該	138
盡	138
千	138
數字	138
幾乎	137
注意	137
騎	137
雲	137
搞笑	137
人話	137
數據	137
座	137
以後	136
先知	136
生存	136
隔	136
甜	136
鋪	136
皇馬	135
欣賞	135
英雄	135
菜	135
德國	135
保	135
參加	135
幅	135
印度	135
茶	135
歐	135
憎	135
隊長	134
幸福	134
非	134
速度	134
頁	134
破壞	134
佐	134
睡眠	134
凍	134
瞓覺	134
邊啲	134
可惜	133
機器	133
星球	133
任	133
奶	133
沖	133
通過	133
拍拖	133
顯示	133
廿	133
算啦	133
分手	132
偷	132
意義	132
塞	132
會員	132
制	132
屬	132
大個	132
李	132
最尾	132
尤其	131
因此	131
出街	131
嗌	131
合理	130
信心	130
記憶	130
迷	130
好心	130
動	130
造成	130
沙	130
後生	130
上年	130
日子	129
穩定	129
狀態	129
盒	129
唔單止	129
反正	128
故	128
插	128
逼	128
預	128
準	128
租	128
路線	128
滿足	128
複雜	128
入邊	128
台灣	127
動作	127
結束	127
範圍	127
九	127
挑戰	127
治療	127
北	127
嗱	127
機械人	127
主角	126
時代	126
畢業	126
澳洲	126
一刻	126
依個	126
瘋狂	125
認識	125
顏色	125
負責	125
百	125
有趣	125
牆	125
骨	125
樹	125
村	125
畀人	125
行動	124
浪費	124
老闆	124
炸	124
危險	124
自殺	124
員工	124
概念	124
最終	124
大部份	124
讚	124
合	123
實力	123
唯有	123
水平	123
精神	123
製作	123
抄	123
大量	123
經常	123
原	123
主題	123
參與	123
臺灣	123
亞	123
B	123
利申	123
媽	122
深	122
訓練	122
直到	122
導致	122
地下	122
加埋	122
進入	121
決賽	121
黑色	121
量	121
糖	121
轉頭	121
一個人	121
點算	121
讓	120
報告	120
純粹	120
本來	120
意	120
碼	120
有效	120
阿媽	120
身上	120
責任	119
瘦	119
奇怪	119
總之	119
時期	119
禮物	119
除	119
電子	119
輕鬆	118
成績	118
投資	118
蛋	118
事件	118
開放	118
當地	118
酸	118
軟	118
咦	118
掛住	118
組	117
介意	117
實際	117
緊張	117
天氣	117
獲	117
宣佈	117
距	117
使用者	117
小編	117
打機	117
芝士	117
直	116
防守	116
臭	116
尷尬	116
級	116
亞洲	116
古	116
企業	116
宮	116
好嘢	116
心情	115
印象	115
參考	115
火	115
權	115
飲食	115
入場	115
目前	115
之中	115
盡量	115
溝	114
隨時	114
公開	114
郁	114
粵語	114
分析	114
切	114
保持	114
運	114
成員	114
鞋	114
素	114
臺	114
聽講	114
羅馬	113
了解	113
倍	113
平衡	113
只不過	113
照顧	113
爸爸	113
提升	113
交通	113
運作	113
能量	113
尋	113
克	113
日文	112
必	112
盤	112
聯絡	112
人士	112
賽	112
體驗	112
個鐘	112
心諗	112
枱	112
痴	112
了	111
查	111
認同	111
播	111
風	111
乾淨	111
值	111
煙	111
寄	111
稱	111
慳	111
返學	111
群	110
期待	110
局	110
迫	110
辣	110
相關	110
犀利	110
回贈	110
一世	110
代	109
後備	109
之類	109
安排	109
長期	109
渣	109
力量	109
封	109
基因	109
蜘蛛	109
朱古力	109
梗	109
懷疑	108
泰國	108
系列	108
豐富	108
創作	108
乘客	108
冇錯	108
另	107
警察	107
既然	107
哋	107
畫面	107
記住	107
白色	107
奇	107
最佳	107
周	107
通	107
北京	107
模	107
森林	107
後尾	107
摺	107
可愛	106
心態	106
態度	106
撐	106
維持	106
投票	106
股	106
濃	106
旅遊	106
斬	106
植物	106
病毒	106
疫情	106
位於	106
公屋	106
失敗	105
求	105
對手	105
聯賽	105
出聲	105
順	105
好感	105
老鼠	105
生意	105
收入	105
好處	105
管理	105
雙	105
變化	105
測試	105
唔止	105
遲啲	105
足球	104
無限	104
等於	104
生日	104
足夠	104
標準	104
版本	104
方	104
酒	104
紅色	104
羅	104
版主	104
母	104
正確	103
中場	103
窮	103
條件	103
散	103
懶	103
即時	103
砌	103
之下	103
刺激	103
實驗	103
針	103
演講	103
焗	103
球證	103
填	102
加油	102
斷	102
廁所	102
元朗	102
印	102
接近	102
忽	102
團隊	102
甘	102
聖	102
形成	102
淨	102
嚟自	102
返來	102
如何	101
小時	101
練	101
下下	101
傷害	101
閘	101
有心	101
拆	101
藥	101
鬥	101
厚	101
藥物	101
廣州	101
冇錢	101
推薦	100
賭	100
休息	100
同意	100
風格	100
功課	100
趕	100
表	100
現代	100
活	100
來回	100
信息	100
唧	100
邏輯	99
分開	99
請問	99
普遍	99
大多數	99
搽	99
平均	99
東京	99
甲	99
好奇	99
風險	99
九龍	99
吸收	99
蝦	99
負	99
堂	99
紋	99
品	99
世界上	99
幾大	99
實在	98
漫畫	98
依然	98
廠	98
更新	98
筆	98
錫	98
出面	98
持續	98
比起	98
結	98
比例	98
任務	98
表面	98
機票	98
結構	98
發明	98
19	98
體	98
設	98
區域	98
嘉	98
家姐	98
只需	98
里	98
似乎	97
不同	97
關心	97
心理	97
針對	97
成本	97
戰	97
離	97
經典	97
民主	97
官	97
份量	97
大型	97
收埋	97
一部分	97
入波	97
打得	97
返嚟	97
思考	96
攻	96
毒	96
距離	96
競爭	96
清潔	96
面前	96
急	96
互相	96
目的	96
死亡	96
超級	96
做法	96
身份	96
訊息	96
博物館	96
實際上	96
失去	95
母語	95
英超	95
口味	95
連續	95
樂	95
甜品	95
相對	95
年紀	94
退	94
灰	94
鏡頭	94
通知	94
限制	94
相反	94
敏感	94
寶	94
韓	94
程式	94
界	94
編輯	94
咁上下	94
直頭	94
肌膚	94
事情	93
打算	93
兄弟	93
消息	93
旺角	93
獲得	93
節	93
吉	93
布	93
網民	93
學識	93
咪又係	93
大隻	93
當初	92
私人	92
意外	92
氣氛	92
手指	92
威脅	92
造型	92
驚喜	92
獎	92
消費	92
機構	92
葉	92
迪	92
整個	92
整到	92
朝早	92
達到	91
新手	91
爺爺	91
工程	91
完美	91
特色	91
世	91
蛋糕	91
鹹	91
譯	91
民	91
聯	91
何	90
好笑	90
手足	90
球迷	90
道理	90
制度	90
淡	90
記者	90
因素	90
鐵	90
模式	90
橋	90
劉	90
D	90
post	90
下年	90
仁	90
舖	90
相處	89
恐怖	89
愛情	89
宣傳	89
手術	89
夏天	89
假設	89
技巧	89
一百	89
圖書館	89
引	89
漏	89
客人	89
打卡	89
正正	89
浸	89
ok	89
各種	89
唔好意思	89
留低	89
講下	89
人人	88
真實	88
舉行	88
執行	88
船	88
公平	88
命	88
抑鬱	88
讀者	88
熊	88
興奮	88
伏	88
慣	88
毛	88
地圖	88
提高	88
塔	88
抑鬱症	88
鎮	88
結局	87
畫畫	87
初	87
管	87
圈	87
世界盃	87
共	87
紀錄	87
交流	87
加拿大	87
巴黎	87
土地	87
媽咪	87
來自	87
醫療	87
引起	87
景	87
充滿	87
議員	87
食品	87
捱	87
疾病	87
兼	87
我們	86
回憶	86
衝	86
放低	86
爽	86
門口	86
醫	86
政策	86
副	86
聖誕	86
貪	86
之餘	86
入口	86
嘈	86
盃	86
隊友	85
無聊	85
題	85
階段	85
品牌	85
空氣	85
改名	85
指定	85
新鮮	85
形式	85
補充	85
分子	85
痕	85
普	85
搞亂	85
紐約	85
地位	84
弱智	84
免	84
檔	84
商場	84
鏡	84
數學	84
集中	84
總統	84
飲品	84
網絡	84
史	84
口感	84
酒精	84
碳	84
J	84
唔緊要	84
麻麻	84
其	83
丫	83
樓下	83
訪問	83
有事	83
作用	83
威	83
滑	83
湧	83
形	83
美金	83
蓋	83
fd	83
泰	83
睇法	83
一點	82
題目	82
相同	82
忙	82
話題	82
碗	82
失望	82
摸	82
整體	82
鼓勵	82
大人	82
屯門	82
當日	82
阻止	82
復	82
雷	82
治	82
牛肉	82
青	82
醬	82
科學家	82
享	82
襯	82
搞到	82
上堂	82
堅持	81
勝	81
嫌	81
思想	81
演員	81
設定	81
避免	81
作家	81
大大	81
自從	81
舉	81
商業	81
確保	81
元素	81
泊	81
媒體	81
探索	81
正如	81
出世	81
撳	81
十分	80
家人	80
資格	80
保險	80
守	80
防	80
主場	80
武器	80
對話	80
夢想	80
願意	80
盾	80
肚	80
有份	80
有限	80
博	80
社交	80
非洲	80
項目	80
互動	80
營養	80
兜	80
本地	80
率	80
琴晚	80
鬱	80
出事	79
招	79
理論	79
佔	79
太陽	79
輕	79
精華	79
精	79
戰爭	79
廣東	79
面積	79
肌	79
火星	79
冇所謂	79
先生	78
期望	78
深度	78
大聲	78
牌子	78
痛苦	78
藍	78
快樂	78
關鍵	78
反映	78
出名	78
法律	78
為止	78
遮	78
撈	78
綠色	78
海鮮	78
谷	78
單車	78
登記	78
航空	78
一代	78
也	77
主持	77
刀	77
哈哈	77
傷心	77
攪	77
證據	77
靜	77
祝	77
保障	77
講法	77
家長	77
人物	77
夢	77
春	77
需求	77
藍色	77
網路	77
留名	77
設施	77
取	77
鐵路	77
聖經	77
列車	77
邊間	77
港女	77
